"prod_id","prod_cd","prod_desc","prod_level8_desc","prod_level7_desc","prod_level6_desc","prod_level5_desc","prod_level4_desc","prod_level3_desc","prod_level2_desc","prod_level1_desc","prod_level0_desc"
"6137","H1","TERM FINANCING-I","","","","Others","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5382","137_OD","CASH2U","","","","Business","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"6301","IBONDS","ISLAMIC CORPORATE BONDS","","","Bonds","Private Debt Securities","Securities","Investments","Assets","On Balance Sheet","All Product"
"5628","98_SMF","SHARE MARGIN FINANCING","","","","SMF","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"6402","IP71_ESOS","SHARE MARGIN FINANCING","","","","","","","SMF","Off Balance Sheet","All Product"
"7012","U2","ASW2020 FINANCING-I","","","","Unit Trust","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"6423","IP95_ESOS","SHARE MARGIN FINANCING","","","","","","","SMF","Off Balance Sheet","All Product"
"6238","H83","ASB REDRAW FINANCING-I","","","Salary","Personal","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5485","39_OD","SFT 2","","","BNM","Government Aided Schemes","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"5952","E30","BHLB - PDGF (PACIFIC DOUBLE FUND)","","","","Unit Trust","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5811","C44","OVERSEAS ML SINGAPORE PROPERTY","","","Housing","Mortgage","Term Loans","Loans And Advances","Assets","On Balance Sheet","All Product"
"5220","008","AMEX CLASSIC","","Classics","Amex","Credit Cards","Cards","Loans And Advances","Assets","On Balance Sheet","All Product"
"6381","IP48_ESOS","SHARE MARGIN FINANCING","","","","","","","SMF","Off Balance Sheet","All Product"
"390138","MBB_CIMB2025T2","UNIT TRUST FUND","","","","","UnitTrust","Loans And Advances","Assets","On Balance Sheet","All Product"
"5750","BA_OWN_140","BANKERS ACCEPTENCE-OWN","","","","Owned BA Discounted","Trade","Loans And Advances","Assets","On Balance Sheet","All Product"
"5525","55_OD","MAXIHOME FLEXILINK","","","Housing","Mortgage","OD","Loans And Advances","Assets","On Balance Sheet","All Product"
"6076","FRLC","CORPORATE BONDS","","","Bonds","Foreign Currency","Securities","Investments","Assets","On Balance Sheet","All Product"
